File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
         0     0% 59.97%     -0.19s  0.53%  github.com/go-faker/faker/v4.UUIDHyphenated (inline)
         0     0% 59.97%     -0.30s  0.83%  github.com/go-faker/faker/v4.initMapperTagWithOption
         0     0% 59.97%     -0.34s  0.94%  github.com/go-faker/faker/v4.initOption
         0     0% 59.97%     -2.87s  7.97%  github.com/go-faker/faker/v4.setDataWithTag
         0     0% 59.97%     -1.78s  4.94%  github.com/go-faker/faker/v4.userDefinedNumber
         0     0% 59.97%     -0.17s  0.47%  github.com/go-faker/faker/v4.userDefinedString
         0     0% 59.97%     -0.16s  0.44%  github.com/go-faker/faker/v4/pkg/options.BuildOptions
         0     0% 59.97%     -0.77s  2.14%  github.com/go-playground/validator.(*Validate).Struct (inline)
         0     0% 59.97%     -0.15s  0.42%  github.com/go-playground/validator.(*Validate).registerValidation
         0     0% 59.97%     -0.53s  1.47%  github.com/jackc/pgx/v5.(*Conn).BeginTx
         0     0% 59.97%     -1.55s  4.30%  github.com/jackc/pgx/v5.(*Conn).Exec
         0     0% 59.97%     -0.53s  1.47%  github.com/jackc/pgx/v5.(*Conn).execPrepared
         0     0% 59.97%     -0.99s  2.75%  github.com/jackc/pgx/v5.(*Conn).execSimpleProtocol
         0     0% 59.97%     -0.49s  1.36%  github.com/jackc/pgx/v5.(*dbTx).Commit
         0     0% 59.97%     -0.19s  0.53%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).NextResult
         0     0% 59.97%     -0.18s   0.5%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).receiveMessage
         0     0% 59.97%     -0.80s  2.22%  github.com/jackc/pgx/v5/pgconn.(*PgConn).Exec
         0     0% 59.97%     -5.19s 14.41%  github.com/jackc/pgx/v5/pgconn.(*PgConn).ExecPrepared
         0     0% 59.97%     -0.29s  0.81%  github.com/jackc/pgx/v5/pgconn.(*PgConn).enterPotentialWriteReadDeadlock (inline)
         0     0% 59.97%     -4.58s 12.72%  github.com/jackc/pgx/v5/pgconn.(*PgConn).flushWithPotentialWriteReadDeadlock
         0     0% 59.97%     -1.44s  4.00%  github.com/jackc/pgx/v5/pgconn.(*PgConn).peekMessage
         0     0% 59.97%     -0.53s  1.47%  github.com/jackc/pgx/v5/stdlib.(*Conn).BeginTx
         0     0% 59.97%     -0.49s  1.36%  github.com/jackc/pgx/v5/stdlib.wrapTx.Commit
         0     0% 59.97%      0.31s  0.86%  github.com/segmentio/kafka-go.(*Conn).ReadBatchWith.func1
         0     0% 59.97%     -0.51s  1.42%  github.com/segmentio/kafka-go.(*Conn).do
         0     0% 59.97%     -0.51s  1.42%  github.com/segmentio/kafka-go.(*Conn).offsetCommit
         0     0% 59.97%     -0.30s  0.83%  github.com/segmentio/kafka-go.(*Conn).offsetCommit.func1
         0     0% 59.97%     -0.51s  1.42%  github.com/segmentio/kafka-go.(*Conn).writeOperation (inline)
