File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-13 15:41:41 CEST
Duration: 120.07s, Total samples = 30.45s (25.36%)
Showing nodes accounting for -17.12s, 56.22% of 30.45s total
Dropped 814 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
         0     0% 56.22%     -0.33s  1.08%  runtime.pidlegetSpinning
         0     0% 56.22%     -0.13s  0.43%  runtime.profilealloc
         0     0% 56.22%     -0.20s  0.66%  runtime.ready
         0     0% 56.22%     -0.19s  0.62%  runtime.send
         0     0% 56.22%     -0.19s  0.62%  runtime.send.goready.func1
         0     0% 56.22%     -0.58s  1.90%  runtime.stopm
         0     0% 56.22%     -1.14s  3.74%  runtime.wakep
         0     0% 56.22%     -0.13s  0.43%  strings.Split (inline)
         0     0% 56.22%     -1.03s  3.38%  syscall.Read (inline)
         0     0% 56.22%        -6s 19.70%  syscall.Syscall
         0     0% 56.22%     -4.99s 16.39%  syscall.write
         0     0% 56.22%     -0.28s  0.92%  time.runtimeNano
         0     0% 56.22%     -0.29s  0.95%  time.when
